id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
38054,SWRN,heliport,Rio Negro Naval Station Heliport,-3.144233,-59.948214,131,SA,BR,BR-AM,Manaus,no,,,SWRN,AM9002,,,
38055,SWRO,small_airport,Aeroclube de Rondônia Airport,-8.794348,-63.857494,371,SA,BR,BR-RO,Porto Velho,no,,,SWRO,RO0002,,,
38056,SWRR,small_airport,Fazenda Serra Azul Airport,-14.66749,-54.567477,1667,SA,BR,BR-MT,Planalto Da Serra,no,,,SIZA,MT0154,,,SWRR
38057,SWRS,small_airport,Fazenda Santa Mônica Airport,-16.933332443237305,-54.906944274902344,1047,SA,BR,BR-MT,Rondonópolis,no,,,SWRS,,,,
38058,SWRT,small_airport,Fazenda Santa Rita Airport,-17.3477783203125,-53.19305419921875,2346,SA,BR,BR-GO,Santa Rita Do Araguaia,no,,,SWRT,,,,
38060,SWRW,small_airport,Fazenda Santa Alice Airport,-15.587499618530273,-58.0444450378418,1115,SA,BR,BR-MT,Mirassol D`Oeste,no,,,SWRW,,,,
38062,SWRY,small_airport,Fazenda Santa Maria Airport,-15.737500190734863,-57.47055435180664,1853,SA,BR,BR-MT,Porto Estrela,no,,,SWRY,,,,
577,SWRZ,small_airport,Fazenda Arrossensal Airport,-14.353099822998047,-56.71379852294922,1306,SA,BR,BR-MT,Nortelândia,no,,,SWRZ,SWRZ,,,
38065,SWSC,small_airport,Fazenda Santa Cruz Airport,-11.65102,-52.736311,1083,SA,BR,BR-MT,São Félix Do Araguaia,no,,,SIVF,MT0140,,,SWSC
38066,SWSD,small_airport,Fazenda Santo Antônio Airport,-15.623888969421387,-51.81388854980469,1079,SA,BR,BR-MT,Araguaiana,no,,,SWSD,,,,
323917,SWSE,heliport,Iguatemi Corporate Heliport,-30.028333,-51.162777,328,SA,BR,BR-RS,Porto Alegre,no,,,SWSE,SWSE,,,
578,SWSF,small_airport,Fazenda São Francisco Airport,-15.2241001129,-60.217201232899995,863,SA,BR,BR-MT,Vila Bela Da Santíssima Trindade,no,,,SWSF,SWSF,,,
579,SWSG,small_airport,Fazenda Simarelli Airport,-13.606800079345703,-59.31679916381836,2136,SA,BR,BR-MT,Campos De Júlio,no,,,SWSG,SWSG,,,
343028,SWSI,small_airport,Pousada Amazônia Fishing Lodge Airstrip,-9.13939,-57.049462,509,SA,BR,BR-PA,Jacareacanga,no,SWSI,,SWSI,PA0242,,,
38069,SWSL,heliport,Teuto Heliport,-16.406354,-48.916272,3622,SA,BR,BR-GO,Leopoldo de Bulhões,no,,,SSII,GO0169,,,"SWSL, Anápolis"
323916,SWSN,small_airport,Fazenda São Valentim Airport,-14.962222,-59.321389,1007,SA,BR,BR-MT,Pontes e Lacerda,no,SWSN,,SWSN,MT0401,,,
323914,SWSO,heliport,Socimed Hospital Helipad,-28.473888,-48.988888,79,SA,BR,BR-SC,Tubarão,no,,,SWSO,SC0099,,,
38070,SWSP,small_airport,Sopave Norte Airport,-13.725278,-54.737996,1690,SA,BR,BR-MT,Paranatinga,no,,,SWSP,MT0402,,,
582,SWSQ,small_airport,São Joaquim Airport,1.700207,-69.389702,541,SA,BR,BR-AM,São Gabriel da Cachoeira,no,,,SWSQ,AM0053,,,Uarirambia South
343017,SWST,heliport,Bandeiras Centro Empresarial Heliport,-23.536615,-47.449475,1827,SA,BR,BR-SP,Votorantim,no,SWST,,SWST,SP1306,,,
38075,SWSV,small_airport,Fazenda Santa Sílvia Airport,-14.3886108398,-51.3805541992,837,SA,BR,BR-MT,Cocalinho,no,,,SWSV,,,,
38076,SWSW,heliport,Federal District Civil Police (PCDF) Heliport,-15.779737,-47.913247,3816,SA,BR,BR-DF,Brasília,no,,,SWSW,,,,
38079,SWSZ,small_airport,Fazenda Santa Luzia Airport,-9.773611068725586,-58.06277847290039,741,SA,BR,BR-MT,Nova Bandeirantes,no,,,SWSZ,,,,
38080,SWTA,small_airport,Fazenda Bandeirantes Airport,-15.416306,-58.408187,968,SA,BR,BR-MT,Araputanga,no,,,SJL2,MT0884,,,"SWTA, Santa Márcia"
317302,SWTG,small_airport,Fazenda Santa Marina Airport,-20.847244,-50.788229,1126,SA,BR,BR-SP,Santo Antônio do Aracanguá,no,,,SWTG,SWTG,,,SDAJ
38086,SWTH,small_airport,Fazenda Smith Airport,2.9185,-60.5107,262,SA,BR,BR-RR,Bonfim,no,,,SD16,RR0112,,,SWTH
583,SWTI,small_airport,São Vicente Airport,-14.5202999115,-59.7798995972,791,SA,BR,BR-MT,Nova Lacerda,no,,,SWTI,SWTI,,,
38087,SWTJ,small_airport,Fazenda Cachoeira Airport,-14.565272,-57.778042,978,SA,BR,BR-MT,Tangará da Serra,no,,,SIF0,MT0407,,,SWTJ
38088,SWTK,small_airport,Fazenda Santa Maria do Guaporé Airport,-14.201944,-60.280834,699,SA,BR,BR-MT,Vila Bela da Santíssima Trindade,no,,,SWTK,MT0408,,,
43316,SWTL,small_airport,Fazenda Corumbiara Airport,-12.514441,-61.302841,1371,SA,BR,BR-RO,Pimenta Bueno,no,,,SWTL,RO0037,,,
38090,SWTN,small_airport,Fazenda Arapucel Airport,-15.046599,-58.729201,1562,SA,BR,BR-MT,Araputanga,no,,,SWTN,MT0409,,,
584,SWTO,small_airport,Paraíso do Tocantins Airport,-10.1742,-48.9328,1083,SA,BR,BR-TO,Paraíso Do Tocantins,no,,,SWTO,TO0008,,https://pt.wikipedia.org/wiki/Aeroporto_de_Para%C3%ADso_do_Tocantins,
38091,SWTP,small_airport,Tapuruquara Airport,-0.378604,-64.992558,141,SA,BR,BR-AM,Santa Isabel do Rio Negro,yes,SWTP,IRZ,SWTP,AM0022,,https://en.wikipedia.org/wiki/Tapuruquara_Airport,
585,SWTQ,small_airport,Rio Quente Resorts Airport,-17.768871,-48.761807,2247,SA,BR,BR-GO,Rio Quente,no,,,SWTQ,GO0146,,,Termas Pousada do Rio Quente
